"","Order","Coverage","TargetCoverage","Method"
"1","Archaeognatha","ActualCoverage",24.6961958730526,"CH"
"2","Blattodea","ActualCoverage",19.7381346090774,"CH"
"3","Coleoptera","ActualCoverage",19.5586302788382,"CH"
"4","Dermaptera","ActualCoverage",21.6987740514068,"CH"
"5","Diptera","ActualCoverage",16.7278785069563,"CH"
"6","Embioptera","ActualCoverage",20.2526111551667,"CH"
"7","Ephemeroptera","ActualCoverage",19.571893983602,"CH"
"8","Grylloblattodea","ActualCoverage",28.445207599,"CH"
"9","Hemiptera","ActualCoverage",17.7257404828667,"CH"
"10","Hymenoptera","ActualCoverage",19.0248955205735,"CH"
"11","Isoptera","ActualCoverage",12.443224223623,"CH"
"12","Lepidoptera","ActualCoverage",18.6870463803463,"CH"
"13","Mantodea","ActualCoverage",16.9477801146683,"CH"
"14","Mantophasmatodea","ActualCoverage",17.23993112,"CH"
"15","Mecoptera","ActualCoverage",17.9111554021287,"CH"
"16","Megaloptera","ActualCoverage",17.0373774109868,"CH"
"17","Neuroptera","ActualCoverage",16.1687627584737,"CH"
"18","Odonata","ActualCoverage",17.9733154219841,"CH"
"19","Orthoptera","ActualCoverage",18.6835570453104,"CH"
"20","Phasmatodea","ActualCoverage",17.8996781061714,"CH"
"21","Phthiraptera","ActualCoverage",12.3395891318242,"CH"
"22","Plecoptera","ActualCoverage",25.7237931434121,"CH"
"23","Psocoptera","ActualCoverage",19.7454036963263,"CH"
"24","Raphidioptera","ActualCoverage",24.5602799196774,"CH"
"25","Siphonaptera","ActualCoverage",17.8263535011462,"CH"
"26","Strepsiptera","ActualCoverage",28.52526542,"CH"
"27","Thysanoptera","ActualCoverage",12.9314748620793,"CH"
"28","Trichoptera","ActualCoverage",21.0923628849859,"CH"
"29","Zygentoma","ActualCoverage",16.7200089085,"CH"
"30","Archaeognatha","TargetCoverage",46.1148964210526,"CH"
"31","Blattodea","TargetCoverage",41.1483921046681,"CH"
"32","Coleoptera","TargetCoverage",37.3878588494311,"CH"
"33","Dermaptera","TargetCoverage",34.5057243746949,"CH"
"34","Diptera","TargetCoverage",32.9529501902912,"CH"
"35","Embioptera","TargetCoverage",26.2214832491667,"CH"
"36","Ephemeroptera","TargetCoverage",38.3001158726352,"CH"
"37","Grylloblattodea","TargetCoverage",87.6496857925,"CH"
"38","Hemiptera","TargetCoverage",35.7450509050963,"CH"
"39","Hymenoptera","TargetCoverage",37.5779876599415,"CH"
"40","Isoptera","TargetCoverage",40.9831506529344,"CH"
"41","Lepidoptera","TargetCoverage",34.1232084411914,"CH"
"42","Mantodea","TargetCoverage",38.3511310769406,"CH"
"43","Mantophasmatodea","TargetCoverage",51.19723656,"CH"
"44","Mecoptera","TargetCoverage",48.7594119831089,"CH"
"45","Megaloptera","TargetCoverage",39.2713801867105,"CH"
"46","Neuroptera","TargetCoverage",31.0417505480897,"CH"
"47","Odonata","TargetCoverage",34.0802207915429,"CH"
"48","Orthoptera","TargetCoverage",41.957941512809,"CH"
"49","Phasmatodea","TargetCoverage",45.9868174313857,"CH"
"50","Phthiraptera","TargetCoverage",44.5398344782424,"CH"
"51","Plecoptera","TargetCoverage",47.5556558746074,"CH"
"52","Psocoptera","TargetCoverage",35.7074688150805,"CH"
"53","Raphidioptera","TargetCoverage",36.2344368645161,"CH"
"54","Siphonaptera","TargetCoverage",36.9296074529064,"CH"
"55","Strepsiptera","TargetCoverage",32.02745214,"CH"
"56","Thysanoptera","TargetCoverage",36.9502323371828,"CH"
"57","Trichoptera","TargetCoverage",41.1636412692588,"CH"
"58","Zygentoma","TargetCoverage",36.5886466786667,"CH"
"59","Archaeognatha","ActualCoverage",23.6737248184737,"AH"
"60","Blattodea","ActualCoverage",21.8823288094437,"AH"
"61","Coleoptera","ActualCoverage",20.2868294569927,"AH"
"62","Dermaptera","ActualCoverage",23.8592461418148,"AH"
"63","Diptera","ActualCoverage",17.0671207291999,"AH"
"64","Embioptera","ActualCoverage",21.496536732,"AH"
"65","Ephemeroptera","ActualCoverage",20.3962918118031,"AH"
"66","Grylloblattodea","ActualCoverage",28.30319788625,"AH"
"67","Hemiptera","ActualCoverage",18.2880661741327,"AH"
"68","Hymenoptera","ActualCoverage",19.7439186209471,"AH"
"69","Isoptera","ActualCoverage",12.781823398375,"AH"
"70","Lepidoptera","ActualCoverage",19.6368721814388,"AH"
"71","Mantodea","ActualCoverage",17.711123797148,"AH"
"72","Mantophasmatodea","ActualCoverage",12.12646525,"AH"
"73","Mecoptera","ActualCoverage",18.72119764783,"AH"
"74","Megaloptera","ActualCoverage",18.0044396379865,"AH"
"75","Neuroptera","ActualCoverage",16.7294193291443,"AH"
"76","Odonata","ActualCoverage",18.8102384420315,"AH"
"77","Orthoptera","ActualCoverage",19.7350557209533,"AH"
"78","Phasmatodea","ActualCoverage",19.9566578573696,"AH"
"79","Phthiraptera","ActualCoverage",12.3493907565762,"AH"
